Time;TIME_sec;Start;fix;latitude;longitude;altitude;HDOP;VDOP;satnum;Speed
20230116 085440.255136;1673855680.255136;True;Fix not available;;;;;*1E;00;
20230116 085441.260813;1673855681.260813;False;Fix not available;;;;;*1E;00;
20230116 085442.259225;1673855682.259225;False;Fix not available;;;;;*1E;00;
20230116 085443.254888;1673855683.254888;False;Fix not available;;;;;*1E;00;
20230116 085444.401137;1673855684.401137;False;Fix not available;;;;;*1E;00;
20230116 085445.254381;1673855685.254381;False;Fix not available;;;;;*1E;00;
20230116 085446.270199;1673855686.270199;False;Fix not available;;;;;*1E;00;
20230116 085447.261669;1673855687.261669;False;Fix not available;;;;;*1E;00;
20230116 085448.274714;1673855688.274714;False;Fix not available;;;;;*1E;00;
20230116 085449.434931;1673855689.434931;False;Fix not available;;;;;*1E;00;
20230116 085450.258345;1673855690.258345;False;Fix not available;;;;;*1E;00;
20230116 085451.267677;1673855691.267677;False;Fix not available;;;;;*1E;00;
20230116 085452.256553;1673855692.256553;False;Fix not available;;;;;*1E;00;
20230116 085453.261253;1673855693.261253;False;Fix not available;;;;;*1E;00;
20230116 085454.414179;1673855694.414179;False;Fix not available;;;;;*1E;00;
20230116 085455.263499;1673855695.263499;False;Fix not available;;;;;*1E;00;
20230116 085456.261887;1673855696.261887;False;Fix not available;;;;;*1E;00;
20230116 085457.259379;1673855697.259379;False;Fix not available;;;;;*1E;00;
20230116 085458.256415;1673855698.256415;False;Fix not available;;;;;*1E;00;
20230116 085459.422243;1673855699.422243;False;Fix not available;;;;;*1E;00;
20230116 085500.259634;1673855700.259634;False;Fix not available;;;;;*1E;00;
20230116 085501.260367;1673855701.260367;False;Fix not available;;;;;*1E;00;
20230116 085502.256607;1673855702.256607;False;Fix not available;;;;;*1E;00;
20230116 085503.259759;1673855703.259759;False;Fix not available;;;;;*1E;00;
20230116 085504.407803;1673855704.407803;False;Fix not available;;;;;*1E;00;
20230116 085504.671737;1673855704.671737;False;Fix not available;;;;;*1E;00;
20230116 085505.258420;1673855705.25842;False;Fix not available;;;;;*1E;00;
20230116 085506.262274;1673855706.262274;False;Fix not available;;;;;*1E;00;
20230116 085507.258995;1673855707.258995;False;Fix not available;;;;;*1E;00;
20230116 085508.408125;1673855708.408125;False;Fix not available;;;;;*1E;00;
20230116 085509.262004;1673855709.262004;False;Fix not available;;;;;*1E;00;
20230116 085510.266948;1673855710.266948;False;Fix not available;;;;;*1E;00;
20230116 085511.260259;1673855711.260259;False;Fix not available;;;;;*1E;00;
20230116 085512.294061;1673855712.294061;False;Fix not available;;;;;*1E;00;
20230116 085513.437557;1673855713.437557;False;Fix not available;;;;;*1E;00;
20230116 085514.259712;1673855714.259712;False;Fix not available;;;;;*1E;00;
20230116 085515.255390;1673855715.25539;False;Fix not available;;;;;*1E;00;
20230116 085516.260670;1673855716.26067;False;Fix not available;;;;;*1E;00;
20230116 085517.259364;1673855717.259364;False;Fix not available;;;;;*1E;00;
20230116 085518.425104;1673855718.425104;False;Fix not available;;;;;*1E;00;
20230116 085519.284576;1673855719.284576;False;Fix not available;;;;;*1E;00;
20230116 085520.257437;1673855720.257437;False;Fix not available;;;;;*1E;00;
20230116 085521.257413;1673855721.257413;False;Fix not available;;;;;*1E;00;
20230116 085522.258935;1673855722.258935;False;Fix not available;;;;;*1E;00;
20230116 085523.421504;1673855723.421504;False;Fix not available;;;;;*1E;00;
20230116 085524.256864;1673855724.256864;False;Fix not available;;;;;*1E;00;
20230116 085525.256056;1673855725.256056;False;Fix not available;;;;;*1E;00;
20230116 085526.259543;1673855726.259543;False;Fix not available;;;;;*1E;00;
20230116 085527.258339;1673855727.258339;False;Fix not available;;;;;*1E;00;
20230116 085528.415477;1673855728.415477;False;Fix not available;;;;;*1E;00;
20230116 085529.274458;1673855729.274458;False;Fix not available;;;;;*1E;00;
