Date;Time;Start;MotorAmps;Motor_Rpm;Battery_A;Battery_V;VLeft;VRight;VVehicle;SOC;kWh;Battery_kW;Motor_kW?;AvailBattkW;QCVoltage;QCCommA;MaximumA?;Chargeremainmin;Charge Current??;ACPower?;heaterPower?;ChargeV??;InverterV
20230116 085442.222781;1673855682.222781;True;0;0.5;1.0;381.0;0.0;0.0;0.0;;;0.381;0.0;110;33;0;56;48;0.0;;;0;384
20230116 085443.281824;1673855683.281824;False;0;0.5;0.5;381.5;0.0;0.0;0.0;58.10546875;8.5;0.19075;0.0;110;33;0;56;48;0.0;0.0;0.0;0;384
20230116 085444.291939;1673855684.291939;False;0;0.5;1.0;381.5;0.0;0.0;0.0;58.10546875;8.5;0.3815;0.0;110;33;0;56;48;0.0;0.0;0.0;0;384
20230116 085445.321324;1673855685.321324;False;0;0.5;0.5;381.5;0.0;0.0;0.0;58.10546875;8.5;0.19075;0.0;110;33;0;56;48;0.0;0.0;0.0;0;384
20230116 085446.336617;1673855686.336617;False;0;0.5;1.0;381.5;0.0;0.0;0.0;58.10546875;8.5;0.3815;0.0;110;33;0;56;48;0.0;0.0;0.0;0;384
20230116 085447.349075;1673855687.349075;False;0;0.5;1.0;381.5;0.0;0.0;0.0;58.10546875;8.5;0.3815;0.0;110;33;0;56;48;0.0;0.0;0.0;0;384
20230116 085448.369582;1673855688.369582;False;0;0.5;1.0;381.5;0.0;0.0;0.0;58.10546875;8.5;0.3815;0.0;110;33;0;56;48;0.0;0.0;0.0;0;384
20230116 085449.384650;1673855689.38465;False;-0.5;0.5;0.5;381.0;0.0;0.0;0.0;58.10546875;8.5;0.1905;-2.617993877991494e-05;110;33;0;56;48;0.0;0.0;0.0;0;382
20230116 085450.397315;1673855690.397315;False;-16.0;-22.0;0;381.0;0.0;0.0;0.0;58.10546875;8.5;0.0;0.03686135380212024;110;33;0;56;48;0.0;0.0;0.0;0;384
20230116 085451.411077;1673855691.411077;False;-38.0;-47.0;-0.5;381.0;0.0;0.0;0.0;58.10546875;8.5;-0.1905;0.18702948264371236;110;33;0;56;48;0.0;0.0;0.0;0;382
20230116 085452.429945;1673855692.429945;False;-37.0;-89.0;-1.0;381.0;1.415;1.27;0.0;58.10546875;8.5;-0.381;0.34484215360903964;110;33;0;56;48;0.0;0.0;0.0;0;382
20230116 085453.446181;1673855693.446181;False;-33.0;-86.0;-1.5;380.5;1.54;1.33;0.0;58.10546875;8.5;-0.57075;0.2971946650295944;110;33;0;56;48;0.0;0.0;0.0;0;382
20230116 085454.459397;1673855694.459397;False;-37.5;-91.0;-1.5;380.5;1.395;1.165;0.0;58.10546875;8.5;-0.57075;0.357356164345839;110;33;0;56;48;0.0;0.0;0.0;0;382
20230116 085455.480160;1673855695.48016;False;-34.0;-96.0;-1.0;380.5;1.68;1.37;0.0;58.10546875;8.5;-0.3805;0.3418052807105695;110;33;0;56;48;0.0;0.0;0.0;0;382
20230116 085456.496303;1673855696.496303;False;-30.0;-128.0;-1.5;381.0;2.095;1.605;0.0;58.10546875;8.5;-0.5715;0.40212385965949354;110;33;0;56;48;0.0;0.0;0.0;0;382
20230116 085457.509327;1673855697.509327;False;-23.0;-172.0;-1.0;380.5;3.08;2.335;0.0;58.10546875;8.5;-0.3805;0.414271351253374;110;33;0;56;48;0.0;0.0;0.0;0;382
20230116 085458.520513;1673855698.520513;False;-27.5;-122.0;-1.0;380.5;2.155;1.64;0.0;58.10546875;8.5;-0.3805;0.3513347784264585;110;33;0;56;48;0.0;0.0;0.0;0;382
20230116 085459.534159;1673855699.534159;False;-25.0;-139.0;-1.0;380.5;2.49;1.9;0.0;58.10546875;8.5;-0.3805;0.3639011490408177;110;33;0;56;48;0.0;0.0;0.0;0;382
20230116 085500.552567;1673855700.552567;False;-35.5;-75.0;-1.0;380.5;1.39;1.105;0.0;58.10546875;8.5;-0.3805;0.2788163480060941;110;33;0;56;48;0.0;0.0;0.0;0;382
20230116 085501.570269;1673855701.570269;False;-39.0;-65.0;-1.0;380.5;1.21;0.0;0.0;58.10546875;8.5;-0.3805;0.2654645792283375;110;33;0;56;48;0.0;0.0;0.0;0;382
20230116 085502.581896;1673855702.581896;False;-30.5;-125.0;-1.0;380.5;2.03;1.54;0.0;58.10546875;8.5;-0.3805;0.39924406639370286;110;33;0;56;48;0.0;0.0;0.0;0;382
20230116 085503.596677;1673855703.596677;False;-39.5;-16.0;-1.0;380.5;0.0;0.0;0.0;58.10546875;8.5;-0.3805;0.06618288523562496;110;33;0;56;48;0.0;0.0;0.0;0;382
20230116 085504.612026;1673855704.612026;False;0;0.5;0;381.0;0.0;0.0;0.0;58.10546875;8.5;0.0;0.0;110;33;0;56;48;0.0;0.0;0.0;0;384
20230116 085505.635229;1673855705.635229;False;7.0;11.5;0.0;381.0;0.0;0.0;0.0;58.10546875;8.5;0.0;0.008429940287132611;110;33;0;56;48;0.0;0.0;0.0;0;382
20230116 085506.660417;1673855706.660417;False;68.5;23.5;-2.0;380.5;0.0;0.0;0.0;58.10546875;8.5;-0.761;0.1685726258038723;110;33;0;56;48;0.0;0.0;0.0;0;382
20230116 085507.673226;1673855707.673226;False;61.0;128.5;-3.0;380.0;1.895;1.785;0.0;58.10546875;8.5;-1.14;0.8208458005054531;110;33;0;56;48;0.0;0.0;0.0;0;382
20230116 085508.688091;1673855708.688091;False;43.0;203.5;-2.5;380.0;2.935;3.045;2.86;58.10546875;8.5;-0.95;0.916350217174583;110;33;0;56;48;0.0;0.0;0.0;0;382
20230116 085509.703441;1673855709.703441;False;53.0;362.5;-6.0;379.5;4.89;5.865;5.15;58.10546875;8.5;-2.277;2.0119282952364634;110;33;0;56;48;0.0;0.0;0.0;0;382
20230116 085510.721767;1673855710.721767;False;72.0;525.5;-12.0;378.0;7.32;8.725;7.68;58.10546875;8.5;-4.536;3.9621766547074473;110;33;0;56;48;0.0;0.0;0.0;0;380
20230116 085511.741544;1673855711.741544;False;70.0;737.5;-15.5;377.0;10.71;11.58;10.67;58.10546875;8.5;-5.8435;5.406157358052435;110;33;0;56;48;0.0;0.0;0.0;0;380
20230116 085512.761475;1673855712.761475;False;105.0;1021.5;-32.5;373.5;15.34;15.42;14.74;58.0078125;8.5;-12.13875;11.231979134746908;110;33;0;56;48;0.0;0.0;0.0;0;376
20230116 085513.773832;1673855713.773832;False;62.0;1278.5;-24.0;375.0;19.39;19.215;18.49;58.0078125;8.5;-9.0;8.300820829070071;110;33;0;56;48;0.0;0.0;0.0;0;378
20230116 085514.784588;1673855714.784588;False;46.5;1440.5;-21.5;375.5;21.785;21.63;20.8;58.0078125;8.5;-8.07325;7.014469537118951;110;33;0;56;48;0.0;0.0;0.0;0;378
20230116 085515.801937;1673855715.801937;False;37.0;1548.5;-16.5;376.5;23.465;23.39;22.45;58.0078125;8.5;-6.21225;5.9998660097033465;110;33;0;56;48;0.0;0.0;0.0;0;378
20230116 085516.821346;1673855716.821346;False;30.5;1624.5;-13.5;377.0;24.48;24.665;23.55;58.0078125;8.5;-5.0895;5.188575886852563;110;33;0;56;48;0.0;0.0;0.0;0;378
20230116 085517.841309;1673855717.841309;False;-8.5;1633.5;4.5;381.0;24.7;24.77;23.7;58.0078125;8.5;1.7145;-1.4540076198976963;110;33;0;56;48;0.0;0.0;0.0;0;382
20230116 085518.852966;1673855718.852966;False;-7.0;1545.5;3.5;381.0;23.495;23.51;22.52;58.0078125;8.5;1.3335;-1.1329106707620396;110;33;0;56;48;0.0;0.0;0.0;0;384
20230116 085519.864862;1673855719.864862;False;-32.0;1442.5;9.5;382.5;21.945;21.93;21.02;58.0078125;8.5;3.63375;-4.8338638963234954;110;33;0;56;48;0.0;0.0;0.0;0;384
20230116 085520.883402;1673855720.883402;False;-44.0;1174.5;13.5;383.5;17.565;17.67;16.88;58.0078125;8.5;5.17725;-5.411707505073777;110;33;0;56;48;0.0;0.0;0.0;0;386
